content,主题,故事,人物,影像,效果
外行看热闹的片子，顶峰之美还是很震撼的。但是纪录片缺乏人文的尊重，无论是对登山向导的还是对夏尔巴人的还是对宗教的。含金量比较少，也没有什么视角，连“天梯”这个主题都没有展现出来。反正和影片介绍不是一回事儿……而且片中弥漫着鼓励大家出钱去登顶的味道。,-1,-2,-2,1,-2
这样好的题材，最终却被拍得这么支离破碎，真的是可惜了。对比南坡登顶，我好像更多地看到了藏人质朴的宗教信仰，与甚至是机械化的商业模式之间巨大的相悖。就如同登顶那个镜头，我几乎就要再次被感动了，却硬生生被满嘴官样文章的女生打断。,1,-2,-2,-2,-1
题材很好，可惜成品扁平化。还原了登山队员的生活状态，但内容松散，焦点不集中，表达无力。含金量太低，这部片子就毁在导演身上了。唯有僧人台词印象深刻。登上8848，迅速拍照、下山，这就是人类的征服欲和炫耀力吧？向导是登山者的“保姆”，登山者，只是花钱就能来的“到此一游”的游客。,1,-1,-2,-2,-2
几个镜头都跑焦了，只有一些大全景能够打动我，整体根本就构不成一部纪录片，琐碎、没有波折，更不用提深度了，可惜了好题材，其他没什么。想到了赫尔佐格的《在世界尽头相遇》，还有徐震的《8848-1.86》.最后一段采访减一星，又见“影像殖民主义”。。。,1,-1,-2,0,-2
如果不是电影院看的肯定少给一星，大屏幕上看珠峰真的太美。平心而论导演只是把自己看到的展示出来，过于碎片化，也没有核心主题，并不能算合格的纪录片。但是还是要说，珠峰真是太美，8848的致命高度。ps：这片最后居然还有彩蛋，哈哈哈哈哈，牧马人的广告啊喂！,-1,-2,-2,1,-1
其实在影院看纪录片还是难免觉得无聊，但是这样的题材还是值得鼓励的，画面很精美，风土人情挺浓厚，朴实中带着感动,1,-2,1,1,-2
有点混乱 配乐也有点杂 只要找到一个主题音乐从头用到尾感觉可能更好 但所有的缺陷在带给你的崇高感和思考面前都算毛线 向摄影致敬 最后的延时摄影的星空简直简,1,-2,-2,1,-2
这么好的题材与素材，成片却如此寡淡以及主线混乱，既没有人物刻画也不见群像感，只见努力，动人太少，有些遗憾。当然，风景满分。,1,-1,-1,-2,-2
一个没有江湖的新时代，规矩道义被钱权碾压，老炮威风不再令人唏嘘。电影的好在于始终憋着一股劲不放，冯小刚也赋予六爷这一角色极强气场。,1,1,1,-2,-2
剧情拖沓，台词刻意，用力过猛的社会现象桥段，给小姑娘钱，起哄跳楼，最后的举报反腐！涵予哥被剪坏了，还有吴亦凡的，这两位哭戏的部分有点突兀！父子情深，兄弟义气，江湖道义，导演想要的太多了，凌乱了观众！三星，一颗敬钢炮影帝，一颗给涵予哥一身腱子肉，一颗给凭声音进阶电影卦的吴亦凡。,-1,-1,-1,-2,-2
热血带劲！冯小刚简直神演技，许晴演技突破很大，即使是新生代的李易峰、吴亦凡也让人刮目，但是TFboy什么鬼…管虎巅峰之作，大陆也有牛逼的黑帮题材了！,1,-2,1,-2,-2
伴随浓浓的父子情，这是部对老秩序的致敬与挽歌。刚爹影帝实至名归。既是满怀江湖气血的六爷，又是子爱而内疚，为子四处奔走的父亲。李易峰的表现刷新我的认知，晓波表面的叛逆，对父亲的爱与怨恨，内心对父爱的渴望，把握的很出彩。父子把酒那场戏情感流露自然细腻，影片最后对前面细节的呼应感人至深,1,-2,1,-2,-2
小钢炮扛起了这部戏，这影帝拿得一点都不虚，涵予叔戏份不多但是荷尔蒙爆棚太帅了，许晴有情有义还美怒刷好感。这部电影最打动我的还是情，父子情兄弟情爱情无一不让人动容，结尾两个彩蛋也十分呼应主题，大赞。李易峰和冯小刚的对手戏都接住了，父子的温情也为电影增添了暖意，刷新了我对他的认知。,1,-2,1,-2,-2
电影时长两个多小时却不觉得冗长，记忆最深最喜欢的是最后的六爷骑车赴约和冰湖约架的场面，配乐也带感，最后场面每个人都是戏，吴亦凡冰湖上的戏让人眼前一亮，情绪都在表情动作里，着实让人惊喜了一番，许晴也演得很好，很久没看这种京片了，新旧社会的交替碰撞出的无奈和情怀，推荐大家去看一下,1,1,1,-2,-2
打了一手恶俗的煽情牌……像吃了个苍蝇说不出的恶心，全程强忍着想吐的心没离场；又名《全世界皆我妈》；十月金马影展看的，没想到公映网评竟然这么好，好魔幻，大型刻奇现场。,-1,-2,-2,-2,-2
整部电影看下来，结局很主旋律但是个遗憾。冯小刚的角色完成度很好，影帝实至名归，但我个人最喜欢张涵予的表演，虽短但精，而且句句台词入味。吴亦凡是很大的一个亮点，这次表现的确让我刮目相看，给了我意犹未尽的感觉，许晴是个会演戏的女人，有味入味。电影里的老戏骨撑着底盘，整体就精彩很多。,1,-2,1,-2,-2
老炮儿用什么词语来形容呢，热血！老一辈在社会的大浪潮里坚守着自己做事的规矩和本分，六爷儿就是一个鲜活的代表，冯小刚把六爷演活了！最后六爷拿着军刀的那一大段无台词纯音乐演绎震撼人心！其中父子情也是一大亮点，酒馆那场戏张力十足，最后彩蛋那个手指的传承也着实让人感动。,1,-2,1,-2,-2
真难看，明明就一嘴炮。冯小刚很卖力地演了一部烂片。说是悬疑犯罪剧，剧中能够得上犯罪的就是刮花别人车辆、聚众斗殴了。悬疑？一点都没看出来悬疑在哪儿。活生生一北京中年屌丝。,-1,-2,-2,-2,-2
冯小刚是个有票房号召力的导演，做起演员来似乎也不错，吴亦凡是个有庞大粉丝群的偶像，做起演员来似乎也挺好。小飞是一个整部戏里最让我唏嘘和心疼的角色，向往江湖崇尚道义的他想用所谓规矩来解决这场纠纷，最后却也败在了规矩上。可能这也是为了弘扬主旋律吧！不得不说，吴亦凡把小飞诠释演绎的挺好,1,-2,1,-2,-2
近期难得的好片，戏中老面孔演技发挥自然不在话下，冯小刚的影帝也不是没有来由的。里面印象比较深的还有小飞。,1,-2,-2,-2,-2
之前觉得山河故人是今年最好的华语电影，看完老炮儿觉得更胜山河故人！很久没有看到一部2小时的电影，融合了这么多情感，亲情、友情、爱情，还表达了社会层面的问题，关键他还是一个那么简单并不算太吸引人的故事！冯小刚绝对的影帝水准，表情不多但是确让给你感受到浓浓的情感！赞！,1,-2,1,-2,-2
牛逼，血性。老炮儿虽在老北京里意思是无所事事提溜鸟儿玩的老混混，但在本片中代表的是上一代在道上混过的人。虽现在被时代与岁月抛弃，枯老的身体与固执的精神显然已不适应这时代。但规矩和面子不能丢。当最后单刀赴会，决然飞奔时，亦不减当年风采。四星半。,1,-2,-2,-2,-2
拍的非常熟练，也能摸对观众的G点，但楞要把胡同小流氓拍成民间大侠，这种价值观我很难接受。对账单那个反转非常，非常，非常突兀生硬，而且鸡贼。最后举报中纪委看着政治正确，其实更鸡贼到死。演员表演没的说，但那一闪而过的tfboys是怎么回事啊？！,-1,-1,1,-2,-2
虽然讨厌冯小刚，但他确实演得好。电影后半截开始就完全脱离实际了（举报信、最后的约架都太假了…）他们的青春是很“热血”，但不管涂抹上多少“规矩”和“义气”，其内核依然是对暴力的崇拜，算不上是高级趣味。他们怀念那种血气就跟我们这一辈人里怀念高考前的日子一样，多少有点自欺欺人的意思。,-1,-1,1,-2,-2
真心不错，大陆竟也能拍出英雄末路的黑帮片了。剧本和摄影都有缺陷处，但六爷这老炮儿真树起来了，这梗着脖子不服软的劲儿放哪个文化里都是英雄人物的标设。另外这父子对立和时代对抗也安排得好，够悲情也够腹黑，没这些，侠义道的信仰就真成了街头小玩闹了。冯小刚演得牛掰，影帝没商量。,1,-1,1,-1,-2
老炮儿，教你如何用，嘴皮子，掰手指，穿皮衣，当一个好爸爸，国外电影教你用智慧，勤劳，爱当一个好爸爸，老炮儿那么成功，可能是因为里面骂了很多人想骂的社会现象，冷漠，富二代，等等，但是只骂了表面，你有本事你深挖是什么造成了如今的社会现象啊，一味的煽情。。,-1,-2,-2,-2,-2
六爷一个如同失去去武功的侠客，在一个人情冷暖的物质世界里坚持着他的道理和仁义，他的兄弟情和他对儿子的父子情，我最深的感触还是他和晓波，总让我想到自己和父母，情藏心里，语却伤人，父子俩喝酒的戏让人感触，冲突着但又想着对方，父子情就是这样倔强的爱,1,-2,-2,-2,-2
其实拍的不错演的也不错，但是整个三观都没法喜欢。直男癌到这个份上，也就差比不上水浒了。,-1,-2,-2,-2,-2
回不去的江湖，冷暖自知的老炮，新旧两代的对立，到最后的热血以及温暖积极的结尾，京味儿十足，剧本结构细节摄影配乐都特别好。冯小刚，一个大写的影帝,1,1,1,1,-2
我在电影院里哭得最惨的一次，到最后花房姑娘旋律响起的时候已经彻底泣不成声。关于这部电影的思考，小到英雄末路的凄凉无奈，大到社会演进下的栖惶挣扎，无不让人心有戚戚。想不到冯小刚最牛逼的一部电影，居然是作为演员，在他的身上，愤怒的六哥灵魂附体。,1,-2,1,-2,-2
看了点映 京城文化非常浓厚 恪守规矩的老北京 江河日下的无奈  六爷是硬朗的 对感情别扭 可能是没同感 父子情不是我想要的点 让我觉得尴尬拖沓 但一定很多人喜欢 冯小刚细腻又粗犷 和一群老哥们很感人 结尾很感慨 许晴风情万千 吴亦凡很惊艳 出场声音印象深刻 李易峰中规中矩    ,-1,1,1,-2,-2
不错过任何一场点映/整个京片子和江湖气十足的商业电影/冯小刚也不愧金马影帝 把六爷的仗义六爷的规矩六爷的理儿都演得沉稳有力脉络清晰/李易峰吴亦凡在大气氛下也没有很出戏/另一帮华谊实力派酱油也是各种出彩 张涵雨和许晴的好身材/主旋律烂尾 渲染过度 三星半,-1,-2,1,-2,-2
称不上佳作，甚至比不上世纪初前后的现实主义题材，那时候洞察力锐敏，人物轮廓鲜明，手法朴实。现在是憋不住，荷尔蒙宣泄解构政治新闻，投机又取巧，外部巧合拼凑，人物内部张力不明朗，后半段靠憋气支撑进结尾大高潮。中景和特写不太理想，结局慢镜头也不够惊艳，提气不解气。,-1,0,-1,-1,-2
作为一部爱情电影，叙事沉静而又沉闷。主题探讨了战争年代的亲情和爱情。结构虽是散文体，却形散神也散。还是矫情了些。剧作上断层的叙事加上汤唯分分钟的出戏依旧难以入戏，刘青云、秦海璐表演沉稳中带着惊喜，汤唯似乎只有李安能发掘出她的潜力。井柏然发挥随性而自然，但他魔性笑声依旧是最大亮点！,0,-1,1,-2,-2
《岁月神偷》与《太平轮》的结合体，乱世浮生的小人物与时代的波浪抗争，这样的题材和故事其实都大同小异，也没啥新意，但本片不是什么的悲天悯人的传奇故事，罗张二人组的细腻镜头拍得就是小人物的悲欢离合，三座城池，两对恋人，一个时代,0,0,0,-2,-2
两星半吧，选材就不好，拍的也不好，汤唯演的也不太好，刘青云的配音也不好。好平庸的东西,-1,-2,-1,-2,-1
"
三星半。
这部片子给我的感觉像《黄金时代》或者《太平轮》，但是没有《黄金》那么传奇以及有厚重感。
说实话每次看这种民国时期的戏，感受那个年代的动荡和感动，我就特别幸运生活在和平时代。 你在深秋，给我春光。
片中演技最让人惊喜的是井柏然，和影帝影后对戏依然很出彩。
",0,-2,1,-2,-2
看的提前场。现在好好拍爱情电影拍的不浮夸那么认真的已经少有了，所以还是很极力推荐进电影院看的。张婉婷和罗启锐这对夫妻档还是有质量保障的，永远拍得有情怀。取材自成龙父母故事，可生活比戏剧更精彩导致有些情节会觉得不可思议，但其实竟是真实的。井柏然很出挑，刘青云非常非常适合这个角色。,1,0,1,-2,-2
张婉婷做为女性导演，镜头下乱世、战争、苦难也细腻的让人动情。娓娓道来的故事整体很平稳，没有什么高潮戏份，贯穿始终的冷色调渲染了大时代变迁的无奈、有情人颠沛流离的辛酸；结尾色调回暖重燃希望。汤唯的造型和表演会让人不自觉想到黄金时代，最喜欢两个人河边弹奏一场戏。@传奇时代影城,1,1,1,-2,-2
如今的电影市场正处于最排斥乱世浮生题材的时候，这个讲述成龙爹妈旧事的片子也紧随太平轮一起沉了。制作虽精致，但总体比较平庸，没什么吸引人的亮点。脸盲症犯，黄觉井柏然突然傻傻分不清，汤唯继续糟烂演技+票房毒药，秦海璐怎么老演民国风尘闺蜜...头尾那人人字幕组般的蓝边字体也太low了,-1,0,-1,1,-2
由成龙父母的真实故事改编，也有乱世爱情的感染力，看民国场景还原，看演员感情戏表现，镜头细节处理到位，因此不算烂片只是不出彩。缺点方面：130分钟拖太长，情节闷文艺，悲调。如果喜欢《太平轮：乱世浮生》的观众可以看看。,-1,1,1,-2,-2
一种看《情深深雨蒙蒙》的感觉，抗战背景下甜腻造作虚假的儿女情。,-1,-2,-2,-2,-2
真正的乱世浮生，比《黄金时代》更接地气，比《太平轮》更接近普通人。但是相比前两者《三城记》整体乱了许多，流水账感明显，精致度不够。另外看演员，汤唯总是一个模式，刘青云一脸的“我是香港人”的感觉。,1,-1,-1,-2,-2
颠覆日常关系，一个不靠谱男人串起亲情 爱情 家庭纠葛，时而温馨，时而粗砺，时而融洽，时而尴尬，文艺范儿，非常规，有看头,1,-2,-2,-2,-2
作为公路片，配乐和风景很赞，电影每次到那个感动的点就收了，不知道为什么，总感觉差口气！题材就是最近流行的拐卖儿童，刘德华把一个寻找孩子的父亲演得入木三分。想想还是加一颗星吧,0,-2,1,-2,1
除了题材值得鼓励，几无可取之处。大概想拍成一部文艺公路片吧，可惜创作者能力实在是……无论剧情设置、节奏、冲突方方面面都毫无亮点。倪景阳的部分好像片中长出的怪胎，非常违和。整个故事也建立在一个过度人为的设定基础上，甚至连预期的煽情都很难做好。这才觉得《亲爱的》挺好。刘德华造型不错,1,-1,-2,-2,-2
每个人看电影的收获都不一样，我对于亲情特别看中，如果亲爱的让我感受到了伟大的母爱，那么失孤让我感受到了沉重的父爱。作为一部电影它或许不那么完美，但是它给予我的感动，完全值得五星，好电影，不多说了，大家可以亲自体会这种感动。,1,-2,-2,-2,-2
个人认为，单单从导演能够拍摄儿童拐卖这个主题的电影，就值得一看。,1,-2,-2,-2,-2
"亲爱的侧重丢孩子的惨，是好的商业片。
失孤拍的零碎，商业和艺术上都不算很出色，但乐观向上、努力煽动观众帮忙寻子的热情，是好的公益片。有关注到寻子父母的心理建设、没编失身桥段之类给原型带来困扰的内容，及片外话题宣传的正面影响加一星。
PS.刘德华缝补海报和缘尽时的表情动人，春晚回家的路也真挚。
觉得是他生涯最佳演技表现。完全是老家亲近的农村大爷，表情到动作每个细节都好，老艺术家水准。相信电影节评委如果熟悉内地农村的话，会给他多些奖项。",1,1,1,-2,-2
失孤，我将其解读为失魂落魄的孤独：从小就没有根的人与失去了血肉的人在某种程度上就生活在长久的精神折磨中，寻找，是他们逃避，同时又是面对灵魂的过程，电影硬伤数不胜数，却还是忍不住感动了,1,-2,-2,-2,-2
不说倪景阳的部分何等的突兀，即便是老少两男主都没有在情感上达到统一，怎能让人投入！情绪累积够了造细节能煽情，情绪没到还乱入意境式的文艺那就是矫情！剧本问题多，演员选择差，剪辑碎片化，最可怕的是没！有！主！题！连个核都凸显不出来，怎么能有好的社会效应，说题材就值满分别闹了！差评！,-1,-1,-1,-1,-2
想法和立意都很好，可惜落实得太差。最大问题选角很崩溃，刘德华的港腔井柏然的东北口音分分钟让人出戏，念对白一样的表演单薄无力。本来很好的三人寻亲线索，女人的线完全成了鸡肋，莫名其妙不知所云，只负责让人起鸡皮疙瘩的煽情。当成公路片来看，摄影包括航拍都可圈可点，领略了发展中的国家样貌。,1,-1,-1,1,-2
这种题材的电影等个把月在电影频道看就行了，抱着被感动哭的心走进电影院反而矫情了,-1,-2,-2,-2,-2
好题材+烂剧本+总让人无法入戏的大牌演员=68.37%的国产电影现状,1,-1,-1,-2,-2
挺能引起共鸣的题材，然而有时候口音让我略出戏,1,-2,-2,-2,-2
《失孤》作为一部立足父爱根据真实事件改编的打拐题材电影，自身蓝本的高度注定了并不会欠缺亲情予人的感动，但所做也就仅只是止戈于此，过于平铺直叙的剧情，空洞生硬的渲染，电影虽能着点于细节的刻画营造，奈何剧情性的匮乏，使其单有其形，却难见那本真的神态。,0,-1,-2,-2,-2
摄影李屏宾，配乐Zbigniew Preisner都是大师级，但也只是中规中矩地发挥，尽量靠近主题，简洁克制并不会太煽情。弱点还是故事是太单薄了，哪怕是真人真事改编，这是导演功力的问题。各种线索和情节的拼凑，人物又站不住，剪辑太碎简直帮倒忙，一个好好的题材被毁。这也是和《亲爱的》差距所在。,1,-1,-1,0,-2
一盘散沙，支离破碎。表演(刘天王的农民扮相真的很土)大于文本(寻子与寻母的双角色设置，本该更加饱满人物的情感互射)大于导技(各种情节的胡乱拼凑，杂乱的剪辑点，原声的过度使用以及各种矫饰的故作诗意的废镜头)，完全失败。真是的，你们什么不好拍，怎么都要去拍这么沉重的主题。拍得又这么难堪！,0,-1,-1,-2,-2
题材很好，但没有亲爱的感人，刘德华的形象很符合,1,-2,1,-2,-2
★★☆刘德华的演技全靠化妆卖苦吗？立意和出发点是好的，但是故事真是讲的一塌糊涂，好端端一个回归电影。,1,-1,-2,-2,-2
题材值得鼓励，但剧情上不够饱满，一场看下来没什么记住的点，想煽情没找对地方,1,-1,-2,-2,-2
题材挺好的，几个故事的交叉做的也像模像样，但是选角实在太蠢，只能说华仔已经尽力了。。违和感太严重,1,1,-1,-2,-2
其实我觉得这片的设定是比亲爱的优秀的，但是槽点太多了竟不知从何下口，不煽情我理解，但是为什么可以把这个题材拍得这么差！？剧情太散，中间那段打情骂俏戏到底想干嘛？灾难性的演技，从井柏然到路人甲。我本来是真的想吹一波我老刘，但是实在开不了口，这样吧，他造型真的挺好的。。。,1,-1,-1,-2,-2
两星半，仍是成长与爱情、逝去的青春，只不过包裹了李玉的风格外衣。好像是李玉第一次拍男性为主角的戏，也是第一次努力靠近市场的作品吧。蛮分裂的一个电影，我仍然很喜欢它的风格，那些花哨的剪辑与摄影，以及配乐。但那毫无新意的剧情与意淫的青春又实在很难让人打起精神。韩庚确实有进步，范爷一般,0,-1,0,1,-2
其实还算部好的青春片，起码是真实的，比那些堕胎青春片好太多了。李需即便是拍商业电影还是免不了文艺味，意识流手法运用的太过明显。四星其中有一星给范爷，我不喜欢她的演技，但是佩服她这个人，去发布会现场看到了她的机智，片值得一看。,0,-2,0,-2,-2
李玉依旧那样擅长情绪的制造，片子特别抓人，内里也有着她作品中一贯的，对性的极致尊重与渴望。其实故事很简单，它关注的是情感的延续，而不仅是青春或是世俗。镜头上依旧浓重，大反差，特写，情绪化。大夕阳下，两人狂奔的镜头美得让人窒息。【回头细聊】,1,-2,-2,1,-2
过分沉溺在一个小青年对国营工厂的记忆中，说喜剧和魔幻都不靠岸，现实题材又显得太单薄，反而把时下青春片的各种重口味学了个齐全，这都是无法推到审查制度头上的内伤。,-1,-2,-2,-2,-2
一共才九十分钟，重点不好好讲，尽用来拍澡堂之类的点到即可的戏，捉急得很（当然我是瞎捉急），转型期特定时代背景完全没有好好展现，浪费了好题材好初衷，若只看青春，也全无怅惘，更别说飙泪，包场看完倒是心情愉快，九十年代的戗驳领西装太好笑，字幕还有错别字，哎呀反正捉急得我,-1,1,-2,-2,-2
没想到“钢の少年”是一部怪咖喜剧，比起我们都熟悉的情感认知，更喜欢让-皮埃尔·热内式的神经质，有时候它甚至盖过了红色废墟的气质。缺点嘛，很多都是制作层面的，比如严重影响节奏的淡出，还有这片没有同期声吗，环境音效很差，后期配音也有问题。,0,-2,-2,-2,-1
《少年巴比伦》：全片情节呈碎末状，小块如少年的性启蒙，没有表达透彻，缺乏趣味；大块如澡堂热水PK，过程叙述尚可，但却收尾仓促。线索不够完整，角色多且不够深入，沦为了零散的堆砌。其实影片以小见大，展现90年代转型期的中国，原本立意很好，可惜完成度欠佳。提名：最佳新导演(相国强)。★★,1,-1,-1,-2,-2
一点都不糟啊，挺难得的青春片+荒诞喜剧。大量王小波，少量阳光灿烂，有点赫拉巴尔，还有欧洲喜剧片的调度。国企转型前期的青年养成，率真、野蛮而且真实，烂泥愣头青，女文青自作，老实人被利用，官迷上位，混不吝老师傅，爱情有点痛。碟片色调不行，得进影院看。删节严重，三星半。,1,-2,1,-2,-2
改编路内小说如果风格色彩能坚持像某些段更魔幻就如处女作导演所说有热内的感觉了，配角星爷无厘头没看出好来，而且就题材来说避重就轻了。但一些香艳场面消费男色女色挺满足直男直女的吧，尤其时而性感时而又不好看的李梦，不知北电摄影系出身怎么镜头把握这么不稳定，董子健发型还不赖。百老汇见面场,-1,-2,0,-2,-2
一向很喜欢主题明确的片子，两位主演的演技都是一流，但除此之外其余便也觉得没什么了。,1,-2,1,-2,-2
为什么这部电影的豆瓣评分只有五点几分？这部电影虽然有一些“槽点”，但可以算是迄今为止最好看的内地爱情喜剧类型片之一了吧（很大程度上得益于原版的那个故事）。我爱这部电影。看完后有一种内心被净化的感觉。以往看内地爱情喜剧电影，几乎从未有过这样的感觉。,1,1,-2,-2,-2
三星半，6-7分左右，总体来说好于部分傻白甜电影，然而还是很傻白甜，顺便我真觉得伊泽导演你这个广告拍的太……不专业了，王传君演的不错点个赞,0,-2,1,-2,-2
这部片子真正的宣扬了它的主题:谁认真谁就输了。so没事就瞎看看，于情侣来说，影院的功能不限于看电影，所以二星半好了。,0,-2,-2,-2,-2
10.21武大点映。走肾部分足够好笑，可惜到了走心部分就俗气得有点尴尬了。郑恺很适合这类花心幼稚男的角色，夸张但不做作。整体剧情和现实意义不如《前任攻略》饱满，但作为喜剧也算过关。,0,0,1,-2,-2
好烂的片，无聊到爆，这种俗套的所谓励志片就不要拍了，不是什么片都是杜拉拉。。。,-1,-2,-2,-2,-2
"陈乔恩和贾乃亮，演技不错，而且这种类似于军校的题材，在国内好像挺少的，情节设置得也还行。
",1,1,1,-2,-2
低俗文化是一直都存在的，这不是问题。但是，电影中“我流氓我骄傲”的意识形态，以及电影院里哄笑的观众，这就很是问题了。（散场被迫喊“既然青春留不住，我的清楚发芽了”，然而这句话连关联词语都搭配错了我呸。幸好没有被电视台记者抓着讲感受，不然全世界都以为我是塘主粉日后都没脸见人了。）,-1,-2,-2,-2,-2
国产青春片，可以打负分么,-1,-2,-2,-2,-2
期待越大失望越大。无主题无结构无主线，教育题材和青春题材的融合做得很不成功。编剧陷入了现实素材中，视点散乱得吓人，使得每个人物都有很强的游离感，有些单场戏写得还不错，但是那又如何呢？全片最后的落脚点居然是孙红雷不应该把自己的理想强加于学生，BUT你这个片子从头到尾不是讲这个的啊！,-1,-1,-1,-2,-2
很好的题材但拍得相当纠结，肖洋在摄影掌控和剪辑方面无可挑剔，但讲故事方面一般，关键是剧本写得主题不清，少年班的故事只见各种泡妞和闯祸，到头来还是段子集罗列，前后内容分裂，终究而言还是没有逃出青春片的桎梏，形式大于内容。最大的看点是演员，董子健演得太好了,1,-1,1,1,-2
“有时候，我们的回忆太过一厢情愿” 看完也不知道讲了什么，以为是讲高智商少年另类故事的，结果看了个匆匆那年青春校园片。给插曲“小二郎”加一星。,-1,-2,-2,-2,-2
出生少年班的导演对自己青春的一次意淫，本质上还是狗血青春片，只不过是从几个天才（也可以说是怪物）的角度出发，没有深入的探讨这些畸形教育的后果影响睡眠的。哎，好题材浪费了。,1,-1,-2,-2,-2
