content,主题,故事,人物,影像,效果
真心不错，大陆竟也能拍出英雄末路的黑帮片了。剧本和摄影都有缺陷处，但六爷这老炮儿真树起来了，这梗着脖子不服软的劲儿放哪个文化里都是英雄人物的标设。另外这父子对立和时代对抗也安排得好，够悲情也够腹黑，没这些，侠义道的信仰就真成了街头小玩闹了。冯小刚演得牛掰，影帝没商量。,1,-1,1,-1,-2
回不去的江湖，冷暖自知的老炮，新旧两代的对立，到最后的热血以及温暖积极的结尾，京味儿十足，剧本结构细节摄影配乐都特别好。冯小刚，一个大写的影帝,1,1,1,1,-2
称不上佳作，甚至比不上世纪初前后的现实主义题材，那时候洞察力锐敏，人物轮廓鲜明，手法朴实。现在是憋不住，荷尔蒙宣泄解构政治新闻，投机又取巧，外部巧合拼凑，人物内部张力不明朗，后半段靠憋气支撑进结尾大高潮。中景和特写不太理想，结局慢镜头也不够惊艳，提气不解气。,-1,0,-1,-1,-2
如今的电影市场正处于最排斥乱世浮生题材的时候，这个讲述成龙爹妈旧事的片子也紧随太平轮一起沉了。制作虽精致，但总体比较平庸，没什么吸引人的亮点。脸盲症犯，黄觉井柏然突然傻傻分不清，汤唯继续糟烂演技+票房毒药，秦海璐怎么老演民国风尘闺蜜...头尾那人人字幕组般的蓝边字体也太low了,-1,0,-1,1,-2
好平淡，故事讲完了，制作很用心，配角更好看，,-2,0,1,1,-2
画面美术没话港，故事傻逼，旁白奇傻逼，动作场面威亚感太重，很多场景为装逼而装逼，另外，搞基都搞得落后时代二十年，这样对得起张震吗？！,-2,-1,-2,-1,-2
剧情非常精彩，画面拍摄也很精美。,-2,1,-2,1,-2
片子欠火候，故事表演都有短板，三条线索很混乱，导致结构失衡，既然可有可无，那还不如不要。井柏然演技略浮夸，不像被拐孩子，致使高潮段落让人感觉莫名其妙，但是本片的摄影很棒，有几个镜头真心赞…华仔真是老了，为了这部片子也是拼了，扮相演技都不错，可是一开口就出戏，港台腔实在是违和啊…,-2,-1,-1,1,-2
不说倪景阳的部分何等的突兀，即便是老少两男主都没有在情感上达到统一，怎能让人投入！情绪累积够了造细节能煽情，情绪没到还乱入意境式的文艺那就是矫情！剧本问题多，演员选择差，剪辑碎片化，最可怕的是没！有！主！题！连个核都凸显不出来，怎么能有好的社会效应，说题材就值满分别闹了！差评！,-1,-1,-1,-1,-2
无条件挺刘天王，努力的让人心疼。摄影很赞，有风光片水准。对于找孩子和寻家，难的不只是大海捞针，还有每个人的创伤，背后破碎的家庭和畸形的关系。能不丢，不病死的活这么大，我很幸运…,-2,-2,-2,1,-2
想法和立意都很好，可惜落实得太差。最大问题选角很崩溃，刘德华的港腔井柏然的东北口音分分钟让人出戏，念对白一样的表演单薄无力。本来很好的三人寻亲线索，女人的线完全成了鸡肋，莫名其妙不知所云，只负责让人起鸡皮疙瘩的煽情。当成公路片来看，摄影包括航拍都可圈可点，领略了发展中的国家样貌。,1,-1,-1,1,-2
摄影李屏宾，配乐Zbigniew Preisner都是大师级，但也只是中规中矩地发挥，尽量靠近主题，简洁克制并不会太煽情。弱点还是故事是太单薄了，哪怕是真人真事改编，这是导演功力的问题。各种线索和情节的拼凑，人物又站不住，剪辑太碎简直帮倒忙，一个好好的题材被毁。这也是和《亲爱的》差距所在。,1,-1,-1,0,-2
片子唯一的可取之处就是摄影，编剧功力太薄弱，各种出戏，几乎拍成了忘年爱情故事。不过还是为了刘德华多打两颗星。,-2,-1,1,1,-2
精美的服装，漂亮的场景，为这部高颜值偶像剧增添不少光彩。,-2,-2,-2,1,-2
是感情分。是没有期待超出预期。坐第一排最右边，角度让我看不清左侧的很多细节，感觉上挺好的，可是未完全感导致我老怀疑。很不一样的李玉。虽然画风跟细节没那么出色，还是赞插入动画，也许甚至是过审之需，配着饱满的音乐致敬迷墙了。绝对是对冯唐作品的提升。韩庚被调教的不错。不是文艺片，放心看,-2,-2,1,1,-2
李玉风格化影像的延续，配乐大赞，孤独的人是可耻的+群架绝了，有当年阳光灿烂的日子里国际歌加板砖的风范。李玉是调教演员的高手，连韩庚这种面瘫都被调教得会演戏了，不用说范爷了，只有在李玉的镜头下她才是一个演员。有几场戏的摄影都极美，特别是湖边和沙漠的逆光，只是焦点让人略捉急啊,-2,-2,1,1,-2
两星半，仍是成长与爱情、逝去的青春，只不过包裹了李玉的风格外衣。好像是李玉第一次拍男性为主角的戏，也是第一次努力靠近市场的作品吧。蛮分裂的一个电影，我仍然很喜欢它的风格，那些花哨的剪辑与摄影，以及配乐。但那毫无新意的剧情与意淫的青春又实在很难让人打起精神。韩庚确实有进步，范爷一般,0,-1,0,1,-2
在《人民日报》2014年12月26日21 版评论青春片需要提供多种可能性的今天。本片成功的加入了大量骨骼和人体组织道具，加上配乐和摄影飞的一逼，堪称迷幻哥特爱好者的最佳选择。,-2,-2,-2,1,-2
"客观讲比绝大多数“青春片”要好。尤其音乐和摄影很赞，但要说高到不知道哪里去了也没有。几十块钱的票价还是值的，不会像看完同桌的你后觉得智商被侮辱。情侣周末看完调情也挺适合，4星吧。
",-2,-2,-2,1,-2
3.5。1.望穿秋水柳色青。2.李玉+冯唐，骨子里是有血脉的，清新重口波心荡，可惜还不够惊艳；尽管有骷髅等魔幻道具，却并无真正戳心时刻。3.曾剑的手持摄影依然很赞，但动画穿插较生硬，反而显得鸡肋。4.范爷韩庚草地冲澡戏很美；齐溪演技棒棒哒，求脱落那段带劲。,-2,-2,1,1,-1
说到底除了插科打诨的趣味他们对青春根本没有看法，也没有什么独一无二的感受，分完手打个架就喊着“我们的青春结束了”，表面生猛，内里全是无病呻吟顾影自怜的玻璃心；曾剑的摄影依旧很性感,-2,-1,-2,1,-2
太喜欢导演的拍摄手法以及画面，很多画面有一种无法言说的美，很喜欢里面的所有配乐。尤其是《孤独的人是可耻的》，现在脑子里还在循环。同为处女座的我特别能理解白露对秋水的情感，所以尤其喜欢白露去找秋水，与秋水争吵时的感受。因为爱你所以离开你，因为爱你，所以不能忍受你一丁点情感瑕疵。,-2,-2,-2,1,-2
李玉依旧那样擅长情绪的制造，片子特别抓人，内里也有着她作品中一贯的，对性的极致尊重与渴望。其实故事很简单，它关注的是情感的延续，而不仅是青春或是世俗。镜头上依旧浓重，大反差，特写，情绪化。大夕阳下，两人狂奔的镜头美得让人窒息。【回头细聊】,1,-2,-2,1,-2
这是部非主流的青春电影，该有的青春躁动和湿漉漉的暧昧气氛它都有，BB依旧美的冒泡，韩庚演技超出想象，齐溪似乎裸妆上镜。实验室那段争执像极了话剧，配乐渲染得很好，让我想起了《恋爱的犀牛》那首《空气》。郊外那段剪影好美，那色调超喜欢。没看过冯唐任何文字，对他一无所知，但在此刻疯狂种草。,-2,-2,1,1,1
期待这么好，实际上真的好烂，剧本、剪辑有太多槽点，值得看的也只有摄影，不过迷之虚焦真的好诡异，这部片子不像李玉。,-2,-1,-2,1,-1
竟然真是近年来国内青春片中最好看的一部（主要是近年来国内青春片《致青春》、《匆匆那年》、《小时代》神马的真没有拿的出手的，），强烈的影像风格也深得我心，要是没有五年后那一段的狗尾续貂（这部分档次一下滑落到《致青春》的水平了），真的要打四星了，现在给三星半了吧！,-2,-2,-2,1,-2
1.对这片有多少爱也不够台词糟心的。2.范冰冰柳青的角色真的可以再丰满点，总感觉从她口里说出的深爱虚的慌。3.镜头语言真的没话说，摄影大赞。4.荷尔蒙有点作，压抑和释放的完全可以更彻底点。5.似乎明白帮宣的为什么都在说韩庚。,-2,-2,-1,1,-2
标记了快两年半，总算见了。降低期待，意外还不错。虽碎片化填塞略减分，荒诞的文本置换为影像失了太多神采。胜在董子健李梦的形象还投心，有板有眼演的像回事，凋然的青春也只能从他们迷惘的眼中觅寻。“走了几千里，还是不能忘记”，我的路小路，匡扶正义逗姑娘，若没成为小说家，没了白蓝你怎么办！,-2,-2,1,-1,-2
什么节奏，什么画面，什么剪辑，简直烂片！还我60块！加一颗星给男主吧,-2,-2,-2,-1,-2
3/5 场景实在是...毫无美感...另外演员都不错...处女作，又是冷门小说，可以理解,-2,-2,1,-1,-2
参差不齐，剪辑糟糕，镜头感太low。,-2,-2,-2,-1,-2
白开水剧情加上过家家式的表演，把观众当幼儿园小朋友哄呢。这剪辑的节奏感真是差到了网剧的水平。,-2,-1,-1,-1,-2
跟火锅英雄一样，实在不忍心打低分，但是这个糟糕的剪辑糟糕的表演实在让我喜欢不起来。看得出导演有很多想法，但好的形式却无法支撑故事。整个片子在荒诞超现实和青春感伤之间不断游离，要是能一直荒诞下去该有多妙。后期配音的做作和一本正经完全破坏了意境，矫情文艺的旁白更是真心没法忍啊,-2,-2,-2,-1,-1
没看原著，电影很喜剧，很青春，很年代。剪辑工整，叙事流畅，7.3分。时间很公平，经过时间，你所爱的人，所恨的人都会成过去。南宁实验电影院，下午4点场，二人包场，放映员居然以为没人看，出去喝茶聊天了，忘了放映。这个影院很老了，也不检票，挺好，90年代的故事就该用90年代的影院来看。,-2,1,-2,1,-2
Almost Lover可是欧美cp fanvid必备催泪BGM，也是我最近听过最好听的电影插曲了，和片中那个伤感浪漫的桥段竟然挺搭的，如果影片到此为止我愿意加一星，可惜啊,-2,-2,-2,1,-2
“毋庸置疑，好的事情总会到来。而当它来的晚了些时候，也不失为一个惊喜。——《托斯卡纳艳阳下》” 即便是2015当昆明遇上米兰，但改编太糟糕了：画面太平实没有电影感，人说话声总小于背景音，台词句句都像念的，配乐突兀分分钟让人出戏…从没见过如此厌烦的廖凡，意大利美景都被拍的好丑。,-2,-1,-1,-1,-2
一星送给黄宗泽，希望大家少演这样的烂剧。比起剧情来，我更不能忍的是这部剧的色调，浓得都要溢出屏幕了，看到男二死的那一集，血都不是红色，感觉是梅红色，很吓人。,-2,-1,1,-1,-2
给两星真的是因为觉得这系的导演编剧摄影剪辑真的还是有一点下降空间的呢能90分钟全程将观众的潜意识注意力引导在陈乔恩的D乳上还不给看真的除了AV也不会有其他影视作品的吧哎呀卧槽忘了标点符号算了反正看这部戏的人少看影评的应该更少吧,-2,-2,-2,-1,-2
很好的题材但拍得相当纠结，肖洋在摄影掌控和剪辑方面无可挑剔，但讲故事方面一般，关键是剧本写得主题不清，少年班的故事只见各种泡妞和闯祸，到头来还是段子集罗列，前后内容分裂，终究而言还是没有逃出青春片的桎梏，形式大于内容。最大的看点是演员，董子健演得太好了,1,-1,1,1,-2
片子本身不错，摄影剪辑都棒，但片子有点怪，中文名少年班，英文名周老师，但其实有点像混搭了老师和学生，杂糅到一起，关注特殊群体的青春片。想要拍成《心灵捕手》，失败了；想拍成《致青春》，也差了火候。到最后只能是导演的青春纪念片。“少年班”本身是个好题材，励志张扬，但拍这样，有点毁。,1,-2,-2,1,-1
三星半，董子健前面看着不行，后面演得确实好。立意、故事性、演技、剪辑都没啥大问题，比较成功的国产片~,0,0,0,0,-2
审美真的不行还自我沉醉，故事也是，也就剪辑能看看了。还有弱智的爱情和不成章法的对白，真的挺...这些心理问题少年们也是非常欣赏无能。那几个唬人用的表现镜头有点意思。弄不清前后割裂的几个主题是想搞啥，特别是走向暗黑之后又洗白，彻底乱了。这种靠剪辑拉开与烂片距离的行为也是违法吧。/4.0/,-1,-1,-2,1,-2
无主题无结构整部电影散乱得吓人。电影除了剪辑用光格外精彩以外，可能最大的优点就在于选演员了。周冬雨平淡的五官与电影气质格外契合，风吹头发扫过脸颊脸上的小绒毛在阳光下让人很轻易就想到青春的样子；王栎鑫坏笑翘起嘴角很有一番年轻时陈冠希的感觉；董子健演技一如既往得自然；王大法自带喜感。,-1,-1,1,1,-2
四星。1.甩开《超能陆战队》这种屎片几百条大街。2.西游记新编，无论从故事创作还是动画特效都是无懈可击，完全的好莱坞动画水准，亮点在运动镜头和主观镜头，还有牛逼的3D视效。3.悟空的封印之所以解除是因为认同流儿的正义、勇敢和惩恶扬善的价值观，这就够了。,1,1,-2,1,1
实在不喜欢这种病毒式宣传方式，上映前一堆人在各大网站洗脑，电影怎么怎么好，哭成狗，官方没钱宣传好可怜，勾情怀...造成Herd effect，弄得人们无脑帮忙宣传。其实这电影就是剧情单调，画面一般，适合低龄，三星标杆。,-2,0,-2,0,-2
口碑营销过了点，很讨厌这种你批评这电影粉丝就过来骂你这样的方式。技术层面是挺优秀的，画面，场景和动作，几段打戏也漂亮，最后大圣归来也威风。但是故事真的太薄弱了，前一个小时几乎没啥信息量。立意，内核都配不上这么高的分。,-2,-1,-2,1,1
"八年的制作下，当代国产动画终于有了3D景深、画面构图、色彩调配的新典范，还强化了几段传统配乐，称得上当代国漫分水岭。
不过部分造型有点cos，剧情某种程度上和《西游降魔》等一样，只是一个主流化的变奏形式，原创力匮乏。期待后作能有突破。",-2,-2,-2,1,0
3.5。开场大闹天宫一段，做的不是很细致，进入正片就有好转。可能是迎合低幼观众，开始有部分卡通的夸张化，细节不够，不过后面的打斗设计，画面都不错。结尾戛然而止靠2D补完，跟陈洁仪歌曲带来的想象有出入。会成为系列电影的话，国漫并不仅仅需要观众的鼓励，加油。,-2,-2,-2,1,-2
不管从画面上，还是特效上，还是剧情上，还是配乐上，都堪称良心，是目前国内最好的动画电影，希望大家可以重拾对国漫的信心。,-2,1,-2,1,1
真是良心之作，3D效果是我目前看过国内电影最好的，没有之一，剧情虽然简单，但是并无尿点，画面太美了，国漫崛起啊，不说了，回去练画了！,-2,0,-2,1,1
鼓励性五星。虽然能明显感觉到导演需要一个好编剧帮他写故事，以及有钱和没钱交替如余弦函数一样波动的画面质量，但整体而言还是太感动了，就是那种，终于有个国产导演愿意把我当人看的感动。今天周一，朝悦七点满场，坐第一排看完的，你们感受一下,1,0,-2,1,-2
挺良心的国产动漫电影。首先，西游故事新编，不落俗套。其次，画面精致，特效也不错。最后，配乐也很好，听得我眼泪都下来了。,-2,1,-2,1,1
近几年国产动画电影的技术一直在进步，昆塔大场面不错，细节还是差了一点，从菠菜的眼泪就可以看出。创意是有的，但是照搬更多。不过卡拉萝的部分做的很出彩，配色和品种很天马行空。剧情不讨论了，故事还要打磨，有的设定让人尴尬。,-2,-1,-2,1,0
这个画质，已经是非常好的了,-2,-2,-2,1,-2
还不错吧，虽然情节老套了点，不过还是有点想象力的，人物形象也不错，画面质感不错，插曲风格独特，用的是少数民族语言和韵律,-2,0,1,1,-2
就画面估计能让人给你0.1分，其余又是抄袭又是无聊剧情的，让人恶心,-2,-1,-2,1,-2
知道能看了，现充的会员。然而…… 我承认画面是真美，景色也好看，但是剧情连贯性好差啊~编剧不行，演员演技还蛮不错~,-2,-1,1,1,-2
一星给昆曲 一星给画面,-2,-2,-2,1,-2
在男主的大力剧透下期待着这部电影，画面真的超级美，男主哭的那一段可以说是非常的虐了。最后那我以为男主马上要去领盒饭的时候，突然来了个大转折，原来一切都是男主的梦啊!最后，片尾的粉墨真的是非常的甜，我连片尾都没有跳，值得n刷，墙裂推荐!,-2,1,-2,1,-2
带着粉丝滤镜看的，也因此可能看着有点出戏，前半部分剧情有点拖沓，后半部分真的很打动人，霍尊的哭戏好看，哭得很动人。整体来说剧情和故事都比较一般，但是选景真的太美了，打光也很美，演员们的演技还有待提高??为了宣传一下昆曲和赞美一下唯美的画面多打一星w,-2,0,0,1,-2
摄影服装意境演员颜值都没得说 太美了 整部电影像一个超长mv 每一个画面都美得不像话 但是演技真的太尬了 演员一直没能很好地融入人物 我也入不了戏 为了我尊来看的 群演都很敷衍 尊尊刚开始演技不在线 后来演技有所提升 但还是给人一种很“演”的感觉 没法入戏 有些台词不适合说出来适合读旁白 说了让人起鸡皮疙瘩  哎 不说咯 拜倒在尊尊的盛世美颜之下,-2,-2,-1,1,-2
就是冲着霍尊去的，演技什么就不谈了，故事讲清楚了，摄影画风很唯美。,-2,1,0,1,-2
一部小众文艺片，适合一个人静静地欣赏。影片给三星，景很美人很韵，有机会会去这个古镇看看。没看过《牡丹亭》但是杜丽娘和柳梦梅的爱情真的有打动我，结局唏嘘不已。如果剧本再丰满一些就更好了，影片也太短90几分钟可讲的太少了。最后一颗星给仙仙的男主，鼓励鼓励，还有一星给主题曲《粉墨》。,-2,0,1,1,-2
为了霍尊看的，剧情一般，演员演技emmmmm一言难尽，但歌是真的好听啊，调色也不错，喜欢霍尊的颜,-2,-2,-1,1,-2
剧情还好吧，主要是拍摄的画面很唯美，里面尤其喜欢李易峰的衣服搭配，很多搞笑的地方，当然最后的彩蛋也很重要啊，哈哈,-2,0,1,1,-2
《怦然星动》首映礼，又烂了，这回可真的不能怪演员了，杨幂和李易峰演的还真是可以的。只能怪这位导演每次都把爱情片拍成一个大型MV，国产爱情片要是这样拍下去，真是既毁演员也毁自己。所以，《怦然心动》《不可思议》《从天而降》这三个成语改编的片子既然大家这么有缘那就在一起吧？☆，1.2分[10],-2,-2,1,-1,-2
拍摄画面唯美，电影很有质感，有不少镜头很不错,-2,-2,-2,1,-2
这部电影的画面也是看醉我了，全程高能死白，导演可否先去了解什么叫宽容度再来拍电影？,-2,-2,-2,-1,-2
画面，场景都很美，男主很苏啊哈哈哈 ！第一次看这种题材，蛮不错！还是有点小惊喜了！,1,-2,1,1,-2
剧情很完整 也轻松 两个主演真的很让人惊喜  演技台词都进步非常大  打光很漂亮 刻画到感情点时  镜头角度都能很好凸显影片中主人公的细腻的感情 很适合年轻人去看 或许从这部影片 你能找到心里那份相识于微时 珍惜当下的那份爱,-2,1,1,1,-2
场景唯美 故事情节环环相扣 很棒,-2,1,-2,1,-2
故事情节比较简单，配乐很好听，喜欢上了片羽时光和请跟我联络这两首歌，风景美如画，电影的每一个画面都很漂亮，美女帅哥很养眼，其实剧情可以再复杂一点就更好了,-2,0,1,1,-2
虽然知道是披着娱乐圈题材的爱情电影，但还是冲着娱乐圈题材去看了，还不错，是一部合格的爱情电影，画面精致，插曲好听，演员可能是太熟悉这些身份，所以都演得很到位，特别是陈数的眉姐这个角色，符合我想象中霸气经纪人这个形象，这部电影可以拓展一些剧情改编一部电视剧，如果拍了我会看的,1,-2,1,1,-2
言情小说的感觉，画面挺浪漫，演员演的都很自然，有笑点没泪点，前半段还挺搞笑，床戏来的太突然，瞬间想到了刘恺威，可咋整？,-2,-2,1,1,-2
娱乐圈的部分挺不错的，节奏也很明快，我觉得追星狗大概会很有共鸣，谈恋爱的部分节奏不够，但甜是真甜，对单身狗的暴击，吻戏床戏都拍的挺唯美，就是有些情节略多余，以及男女主的打光不在一个次元。平心而论我觉得这片值三星，打四星是因为水军一星太多看不下去了，任性加一星。,-2,0,-2,1,-2
陈国辉导演的电影确实唯美，而且剧情也很新颖，娱乐圈爱情故事很少看到，看完觉得光鲜背后更多艰辛啊，里面的主角都是俊男靓女，演的也不错，挺真实自然的，偶尔还挺搞笑，看完好开心，推荐哦,-2,1,1,1,-2
题材挺吸引人，俊男美女的组合也养眼，杨幂终于不再像小时代里的台词一样平淡了，哭戏也还不错，李易峰倒真的挺亮眼，台词意外的还不错，开始重逢冷漠的眼神和吻戏的眼神很入戏，陈数气场十足，有范，BGM很应景很喜欢，画面很唯美，但是剧情比较平淡，总体评价是一部不错的爱情商业片。,1,0,1,1,-2
没有粉丝滤镜的说一说，陈国辉能力一般，电影较平庸，剧情没什么营养和情怀，画面美，后期音效不够好。演员颜值不错，演技还可以，台词也没问题。就是可看性一般，有少女心的会特别喜欢吧。不是烂片，也算合格的院线商业片吧。,-2,-1,1,1,-1
画面还不错，其他没啥好说的，还是国产恐怖片的套路。,-2,-2,-2,1,-2
从整体的画面和演员表演来讲，比之前看的国产恐怖片强太多了，有点像披着恐怖片外衣的伦理片！后面女孩杀死自己姐姐那段挺虐心的！但有个问题，是因为女一号是韩国人吗就那个刘老师，明显有点因为她削弱主题的意思！,-2,-2,1,1,-2
带女儿（五周岁多）去电影院看的，后悔。因为怪物太可怕，画面太血腥残忍，看得女儿三番五次嚷嚷着不要看了要回家！如果说这不是给孩子看的动画片，那么作为成人的我看来，又幼稚得过分。这样不讨好的片子，只能说看了后悔！,-2,-2,-2,-1,-2
